DISTRICT,YEAR,TOTAL IPC CRIMES
GOPALGANJ,2009,2641
JAMALPUR RLY.,2009,232
JAMUI,2009,2257
JEHANABAD,2009,1592
KATIHAR,2009,2537
KATIHAR RLY.,2009,364
KHAGARIA,2009,1671
KISHANGANJ,2009,1247
LAKHISARAI,2009,1294
MADHEPURA,2009,1770
MADHUBANI,2009,4175
MOTIHARI,2009,5234
MUNGER,2009,2002
MUZAFFARPUR,2009,5579
MUZAFFARPUR RLY.,2009,600
NALANDA,2009,4707
NAUGACHIA,2009,1573
NAWADAH,2009,2164
PATNA,2009,14446
PATNA RLY.,2009,1146
PURNEA,2009,2820
ROHTAS,2009,4071
SAHARSA,2009,2087
SAMASTIPUR,2009,4077
SARAN,2009,3826
SHEIKHPURA,2009,964
SHEOHAR,2009,555
SITAMARHI,2009,3763
SIWAN,2009,2242
SUPAUL,2009,1675
VAISHALI,2009,4311
ARARIA,2010,2421
ARWAL,2010,770
AURANGABAD,2010,3015
BAGAHA,2010,1543
BANKA,2010,1816
BEGUSARAI,2010,4025
BETTIAH,2010,3755
BHABHUA,2010,1883
BHAGALPUR,2010,3220
BHOJPUR,2010,3969
BUXAR,2010,2180
DARBHANGA,2010,4308
GAYA,2010,4706
GOPALGANJ,2010,2779
JAMALPUR RLY.,2010,246
JAMUI,2010,1880
JEHANABAD,2010,1832
KATIHAR,2010,2488
KATIHAR RLY.,2010,419
KHAGARIA,2010,1860
KISHANGANJ,2010,1234
LAKHISARAI,2010,1316
MADHEPURA,2010,1877
MADHUBANI,2010,4319
MOTIHARI,2010,5546
MUNGER,2010,2052
MUZAFFARPUR,2010,6541
MUZAFFARPUR RLY.,2010,524
NALANDA,2010,4411
NAUGACHIA,2010,1216
NAWADAH,2010,2286
PATNA,2010,14036
PATNA RLY.,2010,1181
PURNEA,2010,2959
ROHTAS,2010,4488
SAHARSA,2010,1795
SAMASTIPUR,2010,4063
SARAN,2010,4050
SHEIKHPURA,2010,923
SHEOHAR,2010,546
SITAMARHI,2010,3776
SIWAN,2010,3106
SUPAUL,2010,1721
VAISHALI,2010,4372
ARARIA,2011,2914
ARWAL,2011,799
AURANGABAD,2011,3409
BAGAHA,2011,1623
BANKA,2011,1765
BEGUSARAI,2011,3420
BETTIAH,2011,3903
BHABHUA,2011,2025
BHAGALPUR,2011,3024
BHOJPUR,2011,3564
BUXAR,2011,2236
DARBHANGA,2011,5387
GAYA,2011,5207
GOPALGANJ,2011,3334
JAMALPUR RLY.,2011,290
JAMUI,2011,1902
JEHANABAD,2011,1658
KATIHAR,2011,3653
KATIHAR RLY.,2011,390
KHAGARIA,2011,1899
KISHANGANJ,2011,1225
LAKHISARAI,2011,1243
MADHEPURA,2011,1810
MADHUBANI,2011,4660
MOTIHARI,2011,7489
MUNGER,2011,1981
MUZAFFARPUR,2011,6827
MUZAFFARPUR RLY.,2011,524
NALANDA,2011,4527
NAUGACHIA,2011,1478
NAWADAH,2011,2523
PATNA,2011,13712
PATNA RLY.,2011,1143
PURNEA,2011,3332
ROHTAS,2011,4203
SAHARSA,2011,2020
SAMASTIPUR,2011,4216
SARAN,2011,5200
SHEIKHPURA,2011,1031
SHEOHAR,2011,614
SITAMARHI,2011,3624
SIWAN,2011,3408
SUPAUL,2011,2043
VAISHALI,2011,4661
